B1|𓁐|Seated Woman|Det. woman, name. Sometimes for A1 1st sing. pronoun – i|
B2|𓁑|Pregnant woman|Det. pregnant|
B3|𓁒|Woman giving birth|Det. and Ideo. msi “give birth, bear.”|
B4|𓁓|Var. B3|Use as B3.|
B5|𓁔|Woman nursing child|Det. mnʿt “nurse.”|
B6|𓁖|Woman and seated child|Det. rnn “nurse.”|
B7|𓁗|Seated queen holding flower|Det. queens’ names.|
C1|𓁚|God with sun-disk and uraeus|Det. and Ideo. Rʿ “Re, sun-god”|
C2|𓁜|God with falcon head and sun-disk holding ʿnḫ|Var. C1. Det. and Ideo. Rʿ “Re, sun-god”|
C3|𓁟|God with ibis head|Det. or Ideo. ḏḥwty “Thoth”|
C4|𓁠|God with ram head|Det. or Ideo. ẖnmw “Khnum”|
C5|𓁡|God with ram head holding ʿnḫ|Use as C4.|
C6|𓁢|God with jackal head|Det. and Ideo. inpw “Anubis,” wp-w3wt “Wepwawet.”|
C7|𓁣|God with Seth head|Det. and Ideo. Stḫ “Seth.”|
C8|𓁤|Min|Det. and Ideo. Mnw “Min.”|
C9|𓁥|Goddess with horned sun-disk|Det. and Ideo.|
C10|𓁦|God with feather|Det. and Ideo. M3ʿt “Maat”|
C10a|𓁧|Goddess with feather holding ʿnḫ|Use as C10|
C11|𓁨|ḥḥ-figure|Ideo. ḥḥ “million,” god Heh.|
C12|𓁩|Amun|Det. and Ideo. Imn “Amun.”|
C17|𓁮|Montu|Det. and Ideo Mntw “Montu.”|
C18|𓁯|Tatjenen|Det. and Ideo. t3-ṯnnii “Tatjenen.”|
C19|𓁰|Ptah|Det. and Ideo. Ptḥ “Ptah.”|
C20|𓁱|Variant C19|Use as C19|
D1|𓁶|Head|Phono. tp. Det. or Ideo. for tp “head,” tpy “first, chief.” Det. ḏ3ḏ3“head.”|tp
D2|𓁷|Face|Phon. ḥr. Ideo. for ḥr “face.”|ḥr
D3|𓁸|Hair|Det. for šny “hair,” iwn “complexion, nature.” Abbr. for gm wš “found missing.”|
D4|𓁹|Eye|Phono. iri “to do, make.” Ideo. for irt “eye.”|ỉr
D5|𓁺|Eye with paint|Det. for actions or conditions of the eye. ex. dgi “look,” šp “blind.”|
D6|𓁻|Eye with paint|Use as D5.|
D7|𓁼|Eye with paint|Det. for adorn and in ʿnw ” “Anu” (location).|
D8|𓁽|Eye enclosed|Det. forʿnw “Turah,” ʿn “beautiful.”|
D9|𓁿|Eye weeping|Det. or Ideo. for rmi “weep.”|
D10|𓂀|Eye with falcon’s head marking|Det. or Ideo. for w3ḏt “wedjat eye.”|
D11|𓂁|White part of w3ḏt eye|1/2 ḥeqat measure of grain.|
D12|𓂂|Eye pupil|Det. for ḏfd “pupil of eye.”|
D13|𓂃|Eyebrow|1/8 ḥeqat measure of grain.|
D14|𓂄|White part of w3ḏt eye|1/16 ḥeqat measure of grain.|
D15|𓂅|Part of w3ḏt eye markings|1/32 ḥeqat measure of grain.|
D16|𓂆|Part of w3ḏt eye markings|1/64 ḥeqat measure of grain.|
D17|𓂇|Markings of w3ḏt eye|Det. or Ideo. for tit “figure, image.”|
D18|𓂈|Ear|Det. or Ideo. for msḏr “ear.”|
D19|𓂉|Eye, nose, and cheek|Det. or Ideo. for fnd “nose.” Det. sn “smell,” rš “rejoice.”|
D20|𓂊|Var. D19|Use as D19|
D21|𓂋|Mouth|Phon. r. Ideo. for r “mouth.”|r
D22|𓂌|Mouth with two lines|Ideo. for rwy “2/3.”|
D23|𓂍|Mouth with three lines|Ideo. for ḫmt rw “3/4.”|
D24|𓂎|Upper lip with teeth|Det. or Ideo. for spt “lip.” Mistakenly used a F42.|
D25|𓂏|Lips with teeth|Det. or Ideo. for spty “lips.”|
D26|𓂐|Lips spewing water|Det. for spit, spew. ex. psg “spit,” ḳʿ “spew out.”|
D27|𓂑|Breast|Det. for breast, suckle. ex. mnḏ “breast”|
D27a|𓂒|Var. of D27|Use as D27.|
D28|𓂓|Two arms|Phono. k3. Ideo. for k3 “soul.”|kꜣ
D29|𓂔|Var. of D28|Use as D28.|
D30|𓂕|Two arms with tail|Det. for nḥb-k3w “Uniter of Attributes, Assigner of Kas,” name of mythical serpent deity.|
D31|𓂖|Combination of signs D32 and U36|Ideo. for ḥm-k3 “ka servent.”|
D32|𓂘|Two arms embracing|Det. for embrace, open. ex. inḳ “envelop,” ḥpt “embrace.”|
D33|𓂙|Arms holding oar|Phono. ẖn. Ideo. for ẖni “row.”|ẖn
D34|𓂚|Arms with shield and axe|Ideo. for ʿḥ3 “fight”|
D34a|𓂛|Arms with shield and mace|Use as D34.|
D35|𓂜|Negative arms|Phono. n. Ideo. for n and nn, “not.” Det. negation.|nỉ
D36|𓂝|Arm|Phono. ʿ. Ideo. ʿ “arm, hand.”|ꜥ,mỉ
D37|𓂞|Arm holding sign X8|Phono. di in rdi “give.”|dỉ
D38|𓂟|Arm holding bread|Phono. mi or m. Det. for imi “give.”|mỉ
D39|𓂠|Arm holding W24|Det. for offer, present. ex. ḥnk “present,” drp “offer.”|
D40|𓂡|Arm holding stick|Det. for force, effort. ex. nḫt “strong.” Ideo. h3i “evaluate.”|
D41|𓂢|Arm with downward facing palm|Phono. ni. Det. for arm. ex. rmn “arm, shoulder.”|nỉ
D42|𓂣|Arm with downward facing palm|Det. or Ideo. for mḥ “cubit”|
D43|𓂤|Arm with flail|Phono. ḫw. Ideo. for ḫwi “protect.|ḫw
D44|𓂥|Arm with scepter|Det. and Ideo. for ḫrp “control, be at head of, administer.”|
D45|𓂦|Arm with brush|Det. and Ideo. for ḏsr “clear road, sacred, holy.”|
D46|𓂧|Hand|Phono. d. Ideo. for ḏrt “hand.”|d
D46a|𓂨|Hand with water|Ideo. for idt “fragrance.”|
D47|𓂩|Hand|Det. for ḏrt “hand” when spelled with Phono.|
D48|𓂪|Palm without thumb|Ideo. šsp “palm, hand-breadth” (measure)|
D49|𓂬|Fist|Det. for grasp. ex. 3mm “grasp,” ḫfʿ “seize.”|
D50|𓂭|Vertical finger|Ideo. for ḏbʿ “finger,” ḏbʿ “10,000.” Det. for accurate, when doubled.|
D51|𓂷|Horizontal finger|Det. for actions related to finger, fruit, flower. ex. ʿnt “nail,” ḫ3i “measure,” dḳr “fruit.”|
D52|𓂸|Penis|Phono. mt. Det. for male. ex. ʿ3 “ass,” ṯ3y “male.” Ideo. k3 “bull.”|mt
D53|𓂺|Penis with liquid|Det. for male, penis. ex. m b3ḥ “in the presence of” ḏr b3ḥ “since,” r b3ḥ “before.”|
D54|𓂻|Legs walking|Phono. iw in iwi “come.” Det. for motion.|ỉw
D55|𓂽|Legs walking (reverse of D54)|Det. for backwards. ex. ʿnn “turn back,” ḫtḫt “be reversed.”|
D56|𓂾|Leg|Phono. pd. Det. for leg, foot. ex. rd “leg,” pd “knee.”|pd
D57|𓂿|Leg with T30|Det. for mutilate. ex. i3ṯ “be mutilated.”|
D58|𓃀|Foot|Phono. b. Ideo. for bw “place.”|b
D59|𓃁|Foot with D36|Phono. ʿb|ꜥb
D60|𓃂|Foot with water streaming|Ideo. for wʿb “pure, clean.”|wꜥb
D61|𓃃|Toes|Ideo. for s3ḥ “toe”|
D62|𓃄|Var. D61|Use as D61.|
D63|𓃅|Var. D61|Use as D61.|
E1|𓃒|Bull|Det. of cattle. ex. ng “bull,” mnmnt “cattle.” Ideo. in k3 “bull.”|
E2|𓃓|Bull preparing to charge|Det. in sm3 “fighting bull.” Ideo. in k3 nḫt “victorious bull,” (epithet of Pharaoh.)|
E3|𓃔|Calf|Det. in bḥs “calf”|
E4|𓃕|Sacred cow|Det. in ḥs3t “sacred cow.”|
E5|𓃖|Cow with calf|Det. in 3ms “show solicitude.”|
E6|𓃗|Horse|Ideo. or Det. in ssmt “horse.” Det. in ibr “stallion.”|
E7|𓃘|Donkey|Det. in ʿ3 “donkey.”|
E8|𓃙|Kid|Phon. ib, “kid.” Det. in ʿwt “flocks.”|ỉb
E9|𓃚|Newborn bubalis|Phon. iw. In iwr “conceive.”|ỉw
E10|𓃛|Ram|Det. in b3 “ram,” ẖnmw “Khnum,”ʿwt ḥḏt “white flocks, sheep”|
E11|𓃞|Ram|Use as E10|
E12|𓃟|Pig|Det. in rri “pig.”|
E13|𓃠|Cat|Det. in miw “cat.”|
E14|𓃡|Dog|Det. in iw “dog,” ṯsm “hound.”|
E15|𓃢|Recumbent Jackal|Det. or Ideo. in Inpw, “Anubis.”|
E16|𓃣|Recumbent Jackal on shrine|Use as E15.|
E17|𓃥|Jackal|Det. or Ideo. in s3b “jackal” and “dignitary.”|
E18|𓃧|Jackal on standard R12|Det. or Ideo. in Wp-w3wt “Opener of ways, Wepwawet.”|
E19|𓃨|O.K. form of last|Use as E18|
E20|𓃩|Seth animal|Det. or Ideo. in stẖ, stš “Seth.” Det. in ẖnnw “turmoil,” sh3 “confusion.”|
E21|𓃫|Recumbent Seth animal|Det. in nšni “storm, rage.”|
E22|𓃬|Lion|Det. or Ideo. in m3i “lion”|
E23|𓃭|Recumbent Lion|Phon. rw. Det. or Ideo. in rw “lion.”|rw
E24|𓃮|Panther|Det. or Ideo. in 3by “panther, leopard.”|
E25|𓃯|Hippopotamus|Det. in db, dib “hippopotamus.”|
E26|𓃰|Elephant|Det. 3bw “elephant.” Ideo. in 3bw “Elephantine.”|ꜣbw
E27|𓃱|Giraffe|Det. sr “foretell.” Det. or Ideo in mmi “giraffe.”|
E28|𓃲|Oryx|Det. in m3ḥḏ “oryx.”|
E29|𓃴|Gazelle|Det. in gḥs “gazelle.”|
E30|𓃵|Ibex|Det. in n3w, nr3w, ni3 “ibex.”|
E31|𓃶|Goat with collar|Det. in sʿḥ “rank, privilege.”|
E32|𓃷|Baboon|Det. in iʿn “baboon,” ky “monkey,” qnd “furious.”|
E33|𓃸|Monkey|Det. gf, gif “monkey.”|
E34|𓃹|Hare|Phono. wn. wnn “be.”|wn
F1|𓃾|Head of ox|Ideo. in offering formulas for k3 “cattle.”|
F2|𓄀|Head of charging ox|Det. in ḏnd “rage.”|
F3|𓄁|Head of hippopotamus|Phono. 3t. Det. or Ideo. in “moment, attack.”|ꜣt
F4|𓄂|Forepart of lion|Ideo. in ḥ3t “front,” ḥ3ty “heart.”|
F5|𓄃|Head of bubalis|Phon. šs3. Det. and Ideo. in šs3 “skilled” and “prayer.”|
F6|𓄄|Forepart of bubalis|Use as F5|
F7|𓄅|Head of ram|Det. in šft “ram’s head.” Det. or Ideo. in šfyt “worth, dignity.”|
F8|𓄆|Forepart of ram|Use as F7|
F9|𓄇|Head of leopard|Det. or Ideo. in pḥty “strength.”|
F10|𓄈|Head and neck of animal|Det. in ḫḫ “throat,” ʿm “swallow.”|
F11|𓄉|O.K. form of F10|Use as F10|
F12|𓄊|Head and neck of jackal|Phon. wsr. Ideo in wsrt “neck.” In wsr “powerful”|wsr
F13|𓄋|Horns of ox|Phon. wp. Ideo. in wpt “brow, beginning.”|wp
F14|𓄍|Combination of F13 and M4|Ideo. wpt-rnpt “Opening of the Year.”|
F15|𓄎|Combination of F14 and N5|Use as F14|
F16|𓄏|Horn|Phono. ʿb. Det. or Ideo. in db “horn,” ʿb “horn.” In m-ʿb “together with.”|ꜥb
F17|𓄐|Combination of F16 and D60 water vessel|Det. or Ideo. in ʿbw “purification.”|
F18|𓄑|Tusk of elephant|Phono. bḥ, ḥw. Det. and Ideo. in ibḥ “tooth.” Det. in sbḥ “cry.”|bḥ,ḥw
F19|𓄒|Jawbone of ox|Det. in ʿrt “jaw.”|
F20|𓄓|Tongue|Phono. ns. In ns “tongue.” Ideo. in imy-r “overseer.”|ns
F21|𓄔|Ear of ox|Phono. sḏm, idn. Det. or Ideo. in msḏr “ear. Ideo. sḏm, “hear.”|sḏm
F22|𓄖|Hindquarters of leopard or lion|Phono. pḥ in “reach,” pḥty “strength.” Ideo. for pḥwy “end.”|pḥ
F23|𓄗|Foreleg of ox|Det. or Ideo. in ḫpš “strong arm, leg.”|
F24|𓄘|Reverse of F23|Use as F23.|
F25|𓄙|Leg and hoof of ox|Phono. wḥm in “hoof,” “repeat.”|wḥm
F26|𓄚|Goatskin|Phono. ẖn. In ẖnw “interior,” ẖn “approach.”|ẖn
F27|𓄛|Cowskin|Det. in dḥr “hide,” msk3 “skin.”|
F28|𓄜|Var. of F27|Phono. s3b.|sꜣb
F29|𓄝|Combination of F28 + arrow|Phono. st. Det. and Ideo. sti “pierce, shoot.”|st
F30|𓄞|Water skin|Phono. šd. In šdi “draw forth,” šdw “water skin.”|šd
F31|𓄟|Three fox skins|Phono. ms. In msi “give birth.”|ms
F32|𓄡|Animal belly and tail|Phono. ẖ. Ideo. in ẖt “belly, body.”|ẖ
F33|𓄢|Tail|Phono. sd. Det. and Ideo in sd “tail.”|sd
F34|𓄣|Heart|Ideo. in ib “heart.” Det. of ” ḥ3ty “heart.”|ỉb
F35|𓄤|Heart and windpipe|Phono. nfr. In nfr “good, beautiful.”|nfr
F36|𓄥|Lung and windpipe|Phono. sm3. In sm3 “unite” and “lung.”|zmꜣ
F37|𓄦|Backbone and ribs|Det. or Ideo. in i3t “back.” Det. in psd “back.”|
F38|𓄨|Var. of F37|Det. in psd “back.”|
F39|𓄪|Backbone and spinal cord|Det. and Ideo. in im3ḫ “spine” and “honor.”|
F40|𓄫|Backbone and spinal cord at each end|Phono. 3w.|ꜣw
F41|𓄬|Vertebrae|Det. in psd “back.”|
F42|𓄭|Rib|Phono. spr. In spr “approach.”|spr
F43|𓄮|Ribs|Det. in sḥpt “ribs.”|
F44|𓄯|Leg bone with meat|Phono. iwʿ, isw. In iwʿ inherit,” siw “exchange.”|isw,iwꜥ
F45|𓄰|Heifer uterus|Det. or Ideo. in dit “vulva, cow.”|
F46|𓄲|Intestine|Ideo. in q3b “instestine,” m-q3b “in the midst of” pḫr “turn.”|
F47|𓄴|Var. of F46|Use as F46.|
F48|𓄶|Var. of F46|Use as F46.|
F49|𓄷|Var. of F46|Use as F46.|
F50|𓄸|Combination of F46 and S29|Phono. spḫr, “write, copy.”|spḫr
F51|𓄹|Piece of flesh|Phono. is, ist, ws. Det. ḥʿ “flesh,” iwf “meat.”|ỉs,ỉst,ws
F52|𓄽|Excrement|Det. in ḥs “excrement.”|
G1|𓄿|Vulture|Phono. 3. In 3 “vulture.’|ꜣ
G2|𓅀|Two Vultures|Phono 33. In m33 “see.”|ꜣꜣ
G3|𓅁|Combination of G1 + U1|Phono. in m3. In sm3wy “renew.”|mꜣ
G4|𓅂|Buzzard|Phono. tyw.|tiw,tyw
G5|𓅃|Falcon|Ideo. ḥrw “Horus.”|
G6|𓅄|Falcon with flail|De.t in bik “falcon.”|
G7|𓅆|Falcon on standard|Det. imn “Amun,” nsw “king,” divine. 1st sing. pro. i, wi, with divine speaker.|
G7a|𓅇|Var of G7, Falcon in boat|Ideo. nmty “Nemty”|
G7b|𓅈|Var of G7, G7a|Use as G7a.|
G8|𓅉|Combination of G5 + S12|Ideo. Hr/bik nbw “Golden Horus/falcon.”|
G9|𓅊|Falcon with sun disk|Ideo. in rʿ-ḥrw-3ḫty “Re-Horakhty.”|
G10|𓅋|Falcon in sacred bark|Det. in skr “Sokar,” ḥnw “Sokar bark.”|
G11|𓅌|Falcon image|Det. in ʿšm, ʿẖm, ʿḫm “divine image,” šnbt “breast.”|
G12|𓅎|Falcon image with flail|Use as G11.|
G13|𓅏|Falcon image with S9|Ideo. ḥrw nḫny “Horus of Hierakonopolis.” Det. in spdw “Sopdu.”|
G14|𓅐|Vulture|Phono. mwt, mt. In mwt “mother.”|mt,mwt
G15|𓅑|Vulture with flail|Det. in mwt “Mut.”|
G16|𓅒|Nehkbet and Edjo|Ideo. in nbty “Two Ladies” (title of Pharaoh)|
G17|𓅓|Owl|Phono. m.|m
G18|𓅔|Two Owls|Phono. mm.|mm
G19|𓅕|Combination of G17 + D37|Phono. mi, m.|mỉ,m
G20|𓅖|Combination of G17 + D36|Use as G19.|
G21|𓅘|Guinea fowl|Phono. nḥ. In nḥḥ “eternity.”|nḥ
G22|𓅙|Hoopoe|Phono. ḏb/ḏbt.|ḏb,ḏbt
G23|𓅚|Lapwing|Det. and Ideo. in rḫyt “commoners.”|
G24|𓅛|Var. of G23|Use as G23.|
G25|𓅜|Crested Ibis|Phono. 3ḫ. In “spirit.”|ꜣḫ
G26|𓅝|Sacred ibis on standard|Det. in ḏḥwty “Thoth.”|
G26a|𓅞|Sacred ibis|Use as G26.|
G27|𓅟|Flamingo|Phono. dšr. In dšr “red,” “flamingo.”|dšr
G28|𓅠|Black ibis|Phono. gm. In gmi “find.”|gm
G29|𓅡|Jabiru|Phono. b3. In “soul.”|bꜣ
G30|𓅢|Three jabirus|Ideo. in b3w “spirits, strength.”|
G31|𓅣|Heron|Det. in šnty “heron.”|
G32|𓅤|Heron on perch|Det. or Ideo. in bʿḫi “inundated.”|
G33|𓅥|Egret|Det. sd3 “tremble.”|
G34|𓅦|Ostrich|Det. in niw “ostrich.”|
G35|𓅧|Cormorant|Phono. ʿq. In ʿq “enter.”|ꜥq
G36|𓅨|Swallow|Phono. wr. In wr “great.”|wr
G37|𓅪|Sparrow|Det. in nḏs “small,” bin “bad.”|
G38|𓅬|Goose|Phono. gb. In gb “Geb.” Det. in wf3 “talk,” wsf “idle,” ḥtm “perish.”|gb
G39|𓅭|Duck|Phono. s3. In s3 “son.” Det. in si “duck.”|zꜣ
G40|𓅮|Duck flying|Phono. p3. In p3 “the,” “fly.”|pꜣ
G41|𓅯|Duck landing|Phono. ḫn. In ḫni “alight, halt,” ḫn “speech,” qm3 “throw,” “create.”|ḫn,pꜣ
G42|𓅰|Fattened bird|Det. and Ideo. in wš3 “fatten,” ḏf3w “provisions.”|
G43|𓅱|Quail chick, var. Z7|Phono. w.|w
G44|𓅳|Two quail chicks|Phono. ww. In pḥww “end.”|ww
G45|𓅴|Combination of G43 + D36|Phono wʿ.In wʿw “soldier.”|wꜥ
G46|𓅶|Combination of G43 + U1|Phono. m3w.|mꜣw
G47|𓅷|Duckling|Phono. ṯ3. In ṯ3y “male.”|ṯꜣ
G48|𓅸|Three ducklings in nest|Ideo. in sš “nest.”|
G49|𓅹|Ducks’ heads protruding from pool|Det. or Ideo. in sš “nest.”|
G50|𓅺|Two plovers|Ideo. for rḫty “washerman.”|
G51|𓅻|Bird pecking fish|Det. in ḥ3m “catch fish.”|
G52|𓅼|Goose feeding|Det. in snm “feed.”|
G53|𓅽|Human headed bird|Ideo. in b3 “soul.”|
G54|𓅾|Plucked bird|Phono. snḏ. In snḏ “fear.”|snḏ
H1|𓅿|Head of duck|Ideo. in 3pd “bird.” Det. in wšn “wring the neck of birds.”|
H2|𓆀|Head of crested bird|Phono. m3ʿ, wšm, p3q. Det. in m3ʿ “temple of the head,” “true.”|mꜣꜥ,wšm,pꜣq
H3|𓆁|Head of spoonbill|Phono. p3q.|pꜣq
H4|𓆂|Head of vulture|Phono. nr. Det. in nrt “vulture.”|nr
H5|𓆃|Wing|Det. in ḏnḥ “wing.”|
H6|𓆄|Feather|Phono. šw. Ideo. in šwt “feather.” Det. and Ideo. in m3ʿt “truth.”|šw
H7|𓆆|Claw|Phono. š3, š3t. In š3t “Shat” (location).|šꜣ,šꜣt
H8|𓆇|Egg|Ideo. in s3 “son.” Det. sḥwt “egg.”|
I1|𓆈|Lizard|Phono. ʿš3. Det. for lizard. ex. ʿš3 “lizard” and ʿš3 “many, numerous.”|ꜥšꜣ
I2|𓆉|Turtle|Det. or Ideo. for štyw “turtle.”|
I3|𓆊|Crocodile|Det. or Ideo. for crocodile. ex. msḥ “crocodile,” 3d “agressive.” Ideo. ity “sovereign,” when reduplicated|ỉt
I4|𓆋|Crocodile on shrine|Det. sbk “Sobek.”|
I5|𓆌|Crocodile with curved tail|Det. in s3q “collect, gather.”|
I6|𓆎|Crocodile scales|Phono. km. In kmt “Egypt.”|km
I7|𓆏|Frog|Det. in ḥqt “Heqet.” Ideo. wḥm ʿnḫ “repeating life.”|
I8|𓆐|Tadpole|Det. ḥfnr “tadpole.” Ideo. ḥfn “100,000.”|
I9|𓆑|Horned viper|Phono. f. Det. in it “father.”|f
I10|𓆓|Cobra|Phono. ḏ.|ḏ
I11|𓆕|Two cobras|Phono ḏḏ.|ḏḏ
I12|𓆗|Erect cobra|Det. in ʿirt “uraeus.” Det. of goddesses.|
I13|𓆘|Combination of I12 + V30|Det. in w3ḏt “Wadjet.”|
I14|𓆙|Snake|Det. ḥf3w “snake, serpent.”|
I15|𓆚|Var. of I15|Use as I14.|
K1|𓆛|Bulti fish|Phono. in. In int “bulti.”|ỉn
K2|𓆜|Barbel fish|Phono. bw. In bwt “abomination.”|bw
K3|𓆝|Mullet fish|Phono. ʿḏ. In ʿḏ-mr “district administrator.”|ꜥḏ
K4|𓆞|Oxyrhynchus fish|Phono. ẖ3. In ẖ3t “oxyrhynchus.”|ẖꜣ
K5|𓆟|Pike fish|Phono. bs. Det. in bsi “introduce.”|bs
K6|𓆠|Fish scale|Det. and Ideo. in nšmt “fish scale.”|
K7|𓆡|Blowfish|Det. špt “discontented.”|
L1|𓆣|Scarab beetle|Phono. ḫpr. In ḫpr “being, exist, become.|ḫpr
L2|𓆤|Bee|Ideo. for bity “King of Lower Egypt.”|
L3|𓆦|Fly|Det. in ʿff “fly.”|
L4|𓆧|Locust|Det. in snḥm “locust.”|
L5|𓆨|Centipede|Det. sp3 “centipede.”|
L6|𓆩|Shell|Phono ḫ3. In ḫ3wt “offering table.”|ḫꜣ
L7|𓆫|Scorpion|Det. and Ideo. in srqt “Selket.”|
M1|𓆭|Tree|Phono. im3. Det. nhwt, mnw “trees.”|ỉmꜣ
M2|𓆰|Plant|Phono. ḥn. In ḥni “rush,” ḥnw “vessel.” Det. in is “tomb.”|ḥn
M3|𓆱|Branch|Phono. ḫt. In ḫt “wood,” ḫtyw “terrace,” nḫt “strong.”|ḫt
M4|𓆳|Stripped palm branch|Ideo. in rnpt “year,” ḥsbt “regnal year.” Det. in tr “time.”|
M5|𓆴|Combination of M4 + X1|Det. or Ideo. in tr “time, season.”|
M6|𓆵|Combination of M4 + D21|Det. or Ideo. in tr “time, season.”|tr
M7|𓆶|Combination of M4 + Q3|Det. or Ideo. in rnpi “young.”|
M8|𓆷|Pool with lilies|Phono š3. In š3 “marsh.” Ideo. 3ḫt “Inundation” (season).|šꜣ
M9|𓆸|Lily|Det. or Ideo in sšn “lily.”|
M10|𓆹|Lily bud|Det. in nḥbt “lily bud.”|
M11|𓆻|Flower and stem|Det. or Ideo. in wdn “offer.”|
M12|𓆼|Lily plant|Phono. ḫ3. In ḫ3w nw sšn “lily plants” ḫ3 “1,000,” sḫ3 “remember.”|ḫꜣ
M13|𓇅|Papyrus stem|Phono. w3ḏ, wḏ.|wꜣḏ,wḏ
M14|𓇆|Combination of M13 and I10|Phono. w3ḏ. In w3ḏ wr “the sea.”|wꜣḏ
M15|𓇇|Papyrus clump with downward facing buds.|Phono. 3ḫ. In 3ḫ-bit “Chemmis.” Det. of Papyrus.|ꜣḫ
M16|𓇉|Papyrus clump|Phono. ḥ3 . In ḥ3q “capture.” Det. in “The Delta.”|ḥꜣ
M17|𓇋|Reed leaf|Phono. i. Phono. y, when doubled.|ỉ,j
M18|𓇍|Combination of M17 + D54|Phono i. In ii “come.”|ỉ
M19|𓇎|Conical cakes between signs M17 and U36|Det. and Ideo. in ʿ3bt “offering.”|
M20|𓇏|Reed field|Det. sḫt “marshland,” sm “occupation.”|
M21|𓇐|Reed field with root|Det. in sm “plant,” “help.”|
